"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Humira Pen Crohn'S-Uc-Hs,Adalimumab,Abbvie US LLC,"$29,262,636.87","18,212","3,061","2,785","$1,606.81","$9,559.83","$10,507.23",0,"$40,579,690.39","20,679","3,458","3,272","$1,962.36","$11,735.02","$12,402.11",0,"$43,076,899.94","19,247","3,229","3,043","$2,238.11","$13,340.63","$14,156.06",0,"$41,116,714.32","$16,632.00","2,779","2,628","$2,472.14","$14,795.51","$15,645.63",0,"$13,108,459.17","4,997",840,743,"$2,623.06","$15,605.31","$17,642.61",0,6.10%,13.03%
Humira Pen Psor-Uveits-Adol Hs,Adalimumab,Abbvie US LLC,"$19,228,790.53","11,827","2,962","2,418","$1,625.84","$6,491.83","$7,952.35",0,"$28,557,998.94","14,472","3,633","2,827","$1,973.38","$7,860.72","$10,101.87",0,"$35,449,849.79","15,789","3,946","3,177","$2,245.17","$8,983.74","$11,158.28",0,"$37,593,195.31","$15,203.00","3,792","2,971","$2,472.75","$9,913.82","$12,653.38",0,"$19,791,025.96","7,504","1,861","1,106","$2,637.39","$10,634.62","$17,894.24",0,6.66%,12.86%
Humira(Cf),Adalimumab,Abbvie US LLC, , , , , , , , , , , , , , , , , , , , , , , , ,"$14,055,940.77","$5,705.00","2,210","1,106","$2,463.87","$6,360.15","$12,708.81",0,"$175,802,521.93","66,747","26,325","5,303","$2,633.88","$6,678.16","$33,151.52",0,6.90%,6.90%
Humira(Cf) Pediatric Crohn'S,Adalimumab,Abbvie US LLC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$527,033.75",102,34,21,"$5,167.00","$15,500.99","$25,096.85",0, , 
Humira(Cf) Pen,Adalimumab,Abbvie US LLC, , , , , , , , , , , , , , , , , , , , , , , , ,"$78,429,044.15","$31,787.80","12,764","5,908","$2,467.27","$6,144.55","$13,275.06",0,"$1,205,602,276.50","457,310","183,505","32,178","$2,636.29","$6,569.86","$37,466.66",0,6.85%,6.85%
Humira(Cf) Pen Crohn'S-Uc-Hs,Adalimumab,Abbvie US LLC, , , , , , , , , , , , , , , , , , , , , , , , ,"$7,851,069.28","$1,589.00",531,527,"$4,940.89","$14,785.44","$14,897.66",0,"$43,047,254.66","8,134","2,712","2,579","$5,292.00","$15,872.88","$16,691.45",0,7.11%,7.11%
Humira(Cf) Pen Psor-Uv-Adol Hs,Adalimumab,Abbvie US LLC, , , , , , , , , , , , , , , , , , , , , , , , ,"$4,703,735.98","$1,424.00",477,468,"$3,303.19","$9,861.08","$10,050.72",0,"$27,218,091.79","7,697","2,567","2,509","$3,536.19","$10,603.07","$10,848.18",0,7.05%,7.05%
Humulin 70-30,Insulin NPh Hum/Reg Insulin Hm,Eli Lilly & Co.,"$174,276,929.36","16,312,465","574,996","108,967",$10.69,$303.09,"$1,599.36",1,"$196,698,472.55","16,421,814","574,350","109,183",$11.98,$342.47,"$1,801.55",1,"$172,007,070.88","13,421,310","460,253","89,109",$12.82,$373.72,"$1,930.30",1,"$172,680,049.56","$12,929,074.40","431,804","82,611",$13.36,$399.90,"$2,090.28",1,"$158,719,886.70","12,026,645","388,473","75,521",$13.20,$408.57,"$2,101.67",1,-1.19%,5.41%
Humulin 70/30 Kwikpen,Insulin NPh Hum/Reg Insulin Hm,Eli Lilly & Co.,"$74,734,723.98","3,139,084","119,227","26,054",$23.81,$626.83,"$2,868.45",0,"$89,453,387.93","3,412,291","129,404","28,257",$26.22,$691.27,"$3,165.71",0,"$84,786,919.97","3,135,460","114,658","25,412",$27.04,$739.48,"$3,336.49",1,"$91,546,567.82","$3,377,325.50","119,801","26,049",$27.11,$764.16,"$3,514.40",1,"$93,673,065.17","3,586,806","123,897","27,607",$26.12,$756.06,"$3,393.09",1,-3.65%,2.34%
Humulin N,Insulin NPh Human Isophane,Eli Lilly & Co.,"$134,336,600.12","18,579,989","622,734","144,753",$7.24,$215.72,$928.04,0,"$150,465,421.82","19,317,087","634,262","146,378",$7.79,$237.23,"$1,027.92",0,"$140,470,520.25","17,667,339","549,564","131,313",$7.95,$255.60,"$1,069.74",0,"$140,364,792.04","$17,036,418.50","516,709","123,319",$8.24,$271.65,"$1,138.23",0,"$130,043,758.02","16,166,137","473,470","115,877",$8.04,$274.66,"$1,122.26",0,-2.37%,2.67%
Humulin N Kwikpen,Insulin NPh Human Isophane,Eli Lilly & Co.,"$45,644,229.40","2,117,078","88,263","23,668",$21.56,$517.14,"$1,928.52",1,"$52,536,612.32","2,376,658","99,213","26,743",$22.11,$529.53,"$1,964.50",1,"$50,755,893.53","2,481,008","99,592","27,261",$20.46,$509.64,"$1,861.85",0,"$52,863,655.43","$2,787,155.00","110,675","29,826",$18.97,$477.65,"$1,772.40",0,"$54,297,938.16","3,146,731","121,029","32,826",$17.26,$448.64,"$1,654.11",0,-9.02%,-5.42%
Humulin R,"Insulin Regular, Human",Eli Lilly & Co.,"$67,513,360.08","7,815,611","424,671","117,725",$8.64,$158.98,$573.48,1,"$76,713,534.15","8,104,170","425,734","116,614",$9.47,$180.19,$657.84,1,"$70,708,996.94","7,260,913","366,528","102,072",$9.74,$192.92,$692.74,0,"$70,830,115.15","$7,011,316.14","345,669","93,973",$10.10,$204.91,$753.73,0,"$66,236,617.48","6,641,668","316,682","87,131",$9.97,$209.16,$760.20,0,-1.28%,3.66%
Humulin R U-500,"Insulin Regular, Human",Eli Lilly & Co.,"$158,942,096.88","2,771,102","97,177","19,527",$57.36,"$1,635.59","$8,139.61",0,"$167,415,067.52","2,617,328","91,090","18,442",$63.96,"$1,837.91","$9,077.92",0,"$145,674,616.46","2,062,050","73,185","14,547",$70.65,"$1,990.50","$10,014.07",0,"$121,972,052.89","$1,656,048.20","59,360","11,605",$73.65,"$2,054.79","$10,510.30",0,"$107,746,836.84","1,456,838","51,633","9,978",$73.96,"$2,086.78","$10,798.44",0,0.42%,6.56%
Humulin R U-500 Kwikpen,"Insulin Regular, Human",Eli Lilly & Co., , , , , , , , ,"$28,371,608.25","326,501","19,403","5,907",$86.90,"$1,462.23","$4,803.05",0,"$101,716,472.64","1,116,094","66,316","13,153",$91.14,"$1,533.81","$7,733.33",0,"$164,206,982.82","$1,758,612.00","103,107","18,383",$93.37,"$1,592.59","$8,932.55",0,"$206,784,814.89","2,203,250","126,982","21,698",$93.85,"$1,628.46","$9,530.13",0,0.52%,2.60%
Hydralazine HCl*,Hydralazine HCl,AHP,"$77,244.47","410,839","5,698","1,074",$0.19,$13.56,$71.92,0,"$74,058.76","349,656","5,020",972,$0.21,$14.75,$76.19,0,"$39,488.36","197,847","2,720",672,$0.20,$14.52,$58.76,0,"$6,373.84","$31,388.50",539,183,$0.20,$11.83,$34.83,0,"$3,455.32","14,046",312,134,$0.25,$11.07,$25.79,0,21.99%,7.00%
Hydralazine HCl*,Hydralazine HCl,Akorn Inc.,"$31,138.53",627,60,45,$49.66,$518.98,$691.97,1,"$30,064.49",303,39,37,$99.22,$770.88,$812.55,0,"$8,263.11",861,49,39,$9.60,$168.63,$211.87,0,"$3,642.72",$442.00,49,46,$8.24,$74.34,$79.19,0,"$3,244.52",374,52,36,$8.68,$62.39,$90.13,1,5.26%,-35.35%
Hydralazine HCl*,Hydralazine HCl,App/Premierpro, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,068.76",259,23, ,$4.13,$46.47, ,1, , 
Hydralazine HCl*,Hydralazine HCl,Camber Pharmace,"$13,372,965.77","83,249,090","756,288","192,325",$0.16,$17.68,$69.53,0,"$22,060,115.72","149,487,919","1,231,288","355,169",$0.15,$17.92,$62.11,0,"$27,839,870.33","204,660,852","1,599,152","399,671",$0.14,$17.41,$69.66,0,"$31,246,680.57","$227,394,789.29","1,715,466","475,798",$0.14,$18.21,$65.67,0,"$36,459,022.43","259,466,313","1,814,975","504,013",$0.14,$20.09,$72.34,0,1.92%,-3.44%
Hydralazine HCl*,Hydralazine HCl,Exelan Pharmace, , , , , , , , ,"$54,867.30","336,142","3,055","1,687",$0.16,$17.96,$32.52,0,"$114,304.98","812,592","7,036","2,171",$0.14,$16.25,$52.65,0,"$163,269.11","$1,267,922.00","10,695","4,414",$0.13,$15.27,$36.99,0,"$161,067.45","1,238,167","10,764","3,832",$0.13,$14.96,$42.03,0,1.47%,-7.42%
Hydralazine HCl*,Hydralazine HCl,Fresenius Kabi,"$4,765.71",592,69,48,$8.06,$69.07,$99.29,1,"$28,040.15","7,730",68,43,$3.63,$412.36,$652.10,0,"$22,996.34","7,752",102,62,$2.97,$225.45,$370.91,0,"$5,504.86","$1,704.50",61,43,$3.23,$90.24,$128.02,0,"$6,973.11","6,669",98,59,$1.05,$71.15,$118.19,0,-67.63%,-39.98%
Hydralazine HCl*,Hydralazine HCl,Glenmark Pharma,"$12,581,705.99","73,176,220","590,143","153,107",$0.17,$21.32,$82.18,0,"$3,283,726.94","24,340,883","189,542","105,561",$0.13,$17.32,$31.11,0,"$356,972.09","2,556,917","25,837","10,634",$0.14,$13.82,$33.57,0,"$61,441.86","$587,560.00","4,806","2,009",$0.11,$12.78,$30.58,0,"$9,765.63","85,407",880,387,$0.11,$11.10,$25.23,0,3.82%,-9.67%
Hydralazine HCl*,Hydralazine HCl,Heritage Pharma,"$18,872,884.79","113,997,566","1,062,720","244,349",$0.16,$17.76,$77.24,0,"$23,870,090.43","150,028,173","1,346,903","328,126",$0.16,$17.72,$72.75,0,"$22,622,155.53","146,498,344","1,299,013","296,463",$0.15,$17.41,$76.31,0,"$25,572,500.48","$183,578,865.43","1,485,395","397,930",$0.14,$17.22,$64.26,0,"$30,647,994.48","213,818,882","1,604,139","417,361",$0.14,$19.11,$73.43,0,2.97%,-3.38%
Hydralazine HCl*,Hydralazine HCl,Major Pharmaceu,"$1,289.77","9,024",116,56,$0.15,$11.12,$23.03,0,"$19,019.58","152,108","1,732",837,$0.13,$10.98,$22.72,0,"$40,259.32","290,432","3,691","1,095",$0.14,$10.91,$36.77,0,"$70,779.42","$532,272.10","6,515","2,203",$0.13,$10.86,$32.13,0,"$78,015.41","543,375","7,130","1,882",$0.14,$10.94,$41.45,0,7.87%,-0.66%
Hydralazine HCl*,Hydralazine HCl,Mckesson Packag, , , , , , , , , , , , , , , , ,"$1,513.96","9,481",133,40,$0.16,$11.38,$37.85,0,"$3,450.19","$25,428.00",305,133,$0.14,$11.31,$25.94,0,"$3,172.18","19,174",324,122,$0.17,$9.79,$26.00,0,22.00%,1.44%
Hydralazine HCl*,Hydralazine HCl,Mylan Instituti*,"$16,903.42","96,335","1,447",448,$0.17,$11.68,$37.73,0,"$25,891.81","119,516","1,697",512,$0.44,$15.26,$50.57,0,"$19,620.91","96,136","1,395",381,$0.43,$14.07,$51.50,0,"$18,353.68","$114,182.00","1,518",469,$0.23,$12.09,$39.13,0,"$17,176.81","103,709","1,423",371,$0.17,$12.07,$46.30,0,-26.52%,-1.01%
Hydralazine HCl*,Hydralazine HCl,Nivagen Pharmac, , , , , , , , , , , , , , , , ,"$1,036.31","14,193",162,129,$0.07,$6.40,$8.03,0,"$147,470.43","$2,085,595.00","20,874","9,467",$0.07,$7.06,$15.58,0,"$64,070.17","1,023,998","9,439","4,265",$0.06,$6.79,$15.02,0,-11.65%,-6.87%
Hydralazine HCl*,Hydralazine HCl,Strides Pharma,"$723,287.76","4,591,908","46,627","13,702",$0.16,$15.51,$52.79,0,"$1,415,530.77","9,360,105","83,005","36,845",$0.15,$17.05,$38.42,0,"$759,944.40","4,868,166","49,699","16,163",$0.15,$15.29,$47.02,0,"$3,034,045.69","$21,984,836.95","207,144","73,982",$0.14,$14.65,$41.01,0,"$5,765,252.31","36,442,420","368,420","90,001",$0.16,$15.65,$64.06,0,14.33%,-0.12%
Hydralazine HCl*,Hydralazine HCl,Teva USA,"$24,625,452.53","167,961,315","1,321,680","346,783",$0.15,$18.63,$71.01,0,"$29,865,715.82","215,652,884","1,707,283","435,110",$0.14,$17.49,$68.64,0,"$31,567,359.79","244,529,178","1,885,726","455,725",$0.13,$16.74,$69.27,0,"$27,551,683.68","$228,156,803.65","1,679,595","488,675",$0.12,$16.40,$56.38,0,"$23,722,233.42","216,948,293","1,495,690","423,908",$0.11,$15.86,$55.96,0,-9.49%,-7.42%
Hydrea,Hydroxyurea,BMS Onco/Immun,"$119,071.16","87,943","1,138",264,$1.35,$104.63,$451.03,0,"$102,733.75","75,972",998,225,$1.35,$102.94,$456.59,0,"$81,708.26","60,667",805,173,$1.35,$101.50,$472.30,0,"$89,728.44","$67,044.00",795,202,$1.34,$112.87,$444.20,0,"$80,881.42","59,606",759,176,$1.36,$106.56,$459.55,0,1.39%,0.05%
Hydrochlorothiazide,Hydrochlorothiazide,A-S Medication, , , , , , , , , , , , , , , , , , , , , , , , ,$122.80,$630.00,19, ,$0.19,$6.46, ,1,$72.74,484,16, ,$0.15,$4.55, ,1,-22.90%,-22.90%
Hydrochlorothiazide,Hydrochlorothiazide,Accord Healthca,"$23,213,210.54","210,576,953","3,527,482","1,034,739",$0.11,$6.58,$22.43,0,"$32,139,146.94","337,215,557","5,768,423","1,639,429",$0.09,$5.57,$19.60,0,"$44,776,937.19","482,863,042","8,024,662","2,155,501",$0.09,$5.58,$20.77,0,"$56,309,998.76","$608,487,173.97","9,597,547","2,600,639",$0.09,$5.87,$21.65,0,"$57,190,226.74","587,941,135","8,921,107","2,738,909",$0.10,$6.41,$20.88,0,4.63%,-3.22%
Hydrochlorothiazide,Hydrochlorothiazide,Actavis/Teva,"$10,312,011.96","47,192,706","988,090","336,286",$0.21,$10.44,$30.66,0,"$6,580,876.49","40,175,021","758,758","207,593",$0.16,$8.67,$31.70,0,"$6,248,703.44","43,170,611","707,241","249,406",$0.15,$8.84,$25.05,0,"$4,669,532.29","$36,573,677.60","557,940","193,664",$0.13,$8.37,$24.11,0,"$4,312,316.14","30,248,578","455,821","177,730",$0.14,$9.46,$24.26,0,7.40%,-9.25%
Hydrochlorothiazide,Hydrochlorothiazide,Aurobindo Pharm,"$449,729.29","5,433,662","87,015","33,326",$0.09,$5.17,$13.49,0,"$276,570.95","2,873,782","48,348","14,029",$0.10,$5.72,$19.71,0,"$528,208.16","5,550,056","74,615","28,825",$0.10,$7.08,$18.32,0,"$434,896.08","$5,819,074.00","75,558","28,424",$0.07,$5.76,$15.30,0,"$245,315.94","4,528,954","67,923","26,883",$0.05,$3.61,$9.13,0,-26.95%,-10.63%
Hydrochlorothiazide,Hydrochlorothiazide,Excellium Pharm,"$575,073.54","9,012,426","172,691","58,752",$0.06,$3.33,$9.79,0,"$368,121.44","6,367,346","121,207","49,832",$0.06,$3.04,$7.39,0,"$46,453.06","673,010","15,001","5,475",$0.07,$3.10,$8.48,0,"$15,094.71","$248,092.00","5,250","1,846",$0.06,$2.88,$8.18,0,"$10,242.78","181,665","3,660","1,291",$0.06,$2.80,$7.93,0,-7.22%,-2.90%
Hydrochlorothiazide,Hydrochlorothiazide,"Gsms, Inc.", , , , , , , , , , , , , , , , ,$229.23,"1,575",57,55,$0.15,$4.02,$4.17,0,"$5,025.61","$44,826.00","1,582",314,$0.11,$3.18,$16.01,0,"$4,304.52","46,844","1,435",409,$0.09,$3.00,$10.52,0,-18.07%,-20.72%
Hydrochlorothiazide,Hydrochlorothiazide,H.J. Harkins/Ph, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,$71.44,690,13, ,$0.10,$5.50, ,1, , 
Hydrochlorothiazide,Hydrochlorothiazide,Heritage Pharma,"$6,445,189.12","68,247,811","1,380,099","564,714",$0.10,$4.67,$11.41,0,"$498,379.75","6,605,052","141,613","63,105",$0.08,$3.52,$7.90,0,"$229,919.78","3,033,872","65,281","26,634",$0.08,$3.52,$8.63,0,"$106,720.78","$1,268,535.00","29,104","8,210",$0.08,$3.67,$13.00,0,"$932,634.51","37,649,600","483,163","352,269",$0.03,$1.93,$2.65,0,-69.73%,-28.16%
Hydrochlorothiazide,Hydrochlorothiazide,Jubilant Cadist,"$7,723,588.89","55,591,934","1,052,293","308,916",$0.14,$7.34,$25.00,0,"$5,841,276.33","50,811,814","921,397","255,117",$0.11,$6.34,$22.90,0,"$5,782,325.17","52,805,691","887,536","257,746",$0.11,$6.52,$22.43,0,"$4,107,816.52","$31,419,665.40","476,153","174,591",$0.13,$8.63,$23.53,0,"$3,566,594.65","27,449,301","388,268","141,281",$0.13,$9.19,$25.24,0,-0.62%,-1.66%
Hydrochlorothiazide,Hydrochlorothiazide,Kaiser Foundati,$375.67,"1,375",50,46,$0.27,$7.51,$8.17,1,$356.36,"2,350",57,55,$0.15,$6.25,$6.48,0,$279.35,"1,219",37,35,$0.23,$7.55,$7.98,1,$334.32,"$2,225.00",55,46,$0.15,$6.08,$7.27,0,$76.01,406,11,11,$0.19,$6.91,$6.91,1,24.60%,-9.02%
Hydrochlorothiazide,Hydrochlorothiazide,Lannett Co. Inc,"$13,319.71","161,444","4,455","1,289",$0.08,$2.99,$10.33,0,"$6,221.72","97,238","2,491",728,$0.06,$2.50,$8.55,0,"$4,339.59","68,772","1,692",506,$0.06,$2.56,$8.58,0,"$5,303.67","$83,046.00","1,923",614,$0.06,$2.76,$8.64,0,"$6,115.43","86,643","1,971",639,$0.07,$3.10,$9.57,0,11.07%,-3.79%
Hydrochlorothiazide,Hydrochlorothiazide,Leading Pharma, , , , , , , , ,"$96,675.35","1,788,720","33,186","20,884",$0.05,$2.91,$4.63,0,"$180,579.75","2,020,477","53,391","18,213",$0.09,$3.38,$9.91,0,"$164,718.41","$2,155,285.75","48,088","16,191",$0.08,$3.43,$10.17,0,"$147,079.25","1,832,762","30,457","18,650",$0.08,$4.83,$7.89,0,-0.47%,12.12%
Hydrochlorothiazide,Hydrochlorothiazide,Legacy Pharmace, , , , , , , , ,"$3,500,004.73","59,951,622","1,011,937","305,553",$0.06,$3.46,$11.45,0,"$4,255,192.13","73,794,573","1,185,891","332,637",$0.06,$3.59,$12.79,0,"$4,470,774.64","$78,989,165.00","1,162,988","332,885",$0.06,$3.84,$13.43,0,"$3,042,813.30","82,799,133","1,124,610","370,320",$0.04,$2.71,$8.22,0,-35.06%,-14.29%
Hydrochlorothiazide,Hydrochlorothiazide,Mckesson Packag,"$26,273.81","118,633","5,144","1,076",$0.22,$5.11,$24.42,0,"$26,308.21","125,502","5,442","1,158",$0.21,$4.83,$22.72,0,"$21,563.10","110,064","4,682","1,098",$0.20,$4.61,$19.64,0,"$21,748.70","$109,656.00","4,835","1,027",$0.20,$4.50,$21.18,0,"$18,676.40","92,103","4,274",987,$0.20,$4.37,$18.92,0,2.24%,-2.18%
Hydrochlorothiazide,Hydrochlorothiazide,Mylan,"$7,747,048.82","62,208,338","1,107,762","301,849",$0.12,$6.99,$25.67,0,"$7,246,724.60","62,219,402","1,086,604","291,424",$0.12,$6.67,$24.87,0,"$6,417,123.39","57,678,400","963,219","267,717",$0.11,$6.66,$23.97,0,"$5,837,633.71","$57,703,900.56","879,498","273,669",$0.10,$6.64,$21.33,0,"$5,229,698.44","48,604,337","669,278","220,201",$0.11,$7.81,$23.75,0,6.36%,-3.59%
Hydrochlorothiazide,Hydrochlorothiazide,Mylan Instituti,"$38,273.84","186,323","5,425","1,846",$0.21,$7.06,$20.73,0,"$33,762.34","141,533","5,214","1,143",$0.24,$6.48,$29.54,0,"$29,264.38","121,079","4,729",907,$0.24,$6.19,$32.27,0,"$27,561.45","$113,700.00","4,370",856,$0.24,$6.31,$32.20,0,"$24,071.17","94,144","3,729",758,$0.26,$6.46,$31.76,0,5.48%,5.63%
Hydrochlorothiazide,Hydrochlorothiazide,Pd-Rx Pharm,$260.24,"3,405",74,33,$0.08,$3.52,$7.89,0,$40.25,844,23, ,$0.05,$1.75, ,1,$245.46,"2,087",55,31,$0.12,$4.46,$7.92,1,$805.94,"$7,722.00",219,74,$0.10,$3.68,$10.89,0,"$1,776.93","20,330",693,263,$0.09,$2.56,$6.76,0,-16.25%,3.41%
Hydrochlorothiazide,Hydrochlorothiazide,Rising Pharm,"$2,348,394.20","19,260,946","318,667","124,429",$0.12,$7.37,$18.87,0,"$3,057,869.58","27,149,006","477,403","132,855",$0.11,$6.41,$23.02,0,"$3,329,721.18","27,796,799","494,389","140,896",$0.12,$6.74,$23.63,0,"$4,897,712.21","$40,437,183.86","718,175","218,908",$0.12,$6.82,$22.37,0,"$4,410,575.39","35,850,178","600,100","225,991",$0.12,$7.35,$19.52,0,1.58%,0.23%
Hydrochlorothiazide,Hydrochlorothiazide,Sciegen Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,177,855.72","9,642,505","157,398","76,113",$0.12,$7.48,$15.48,0, , 
Hydrochlorothiazide,Hydrochlorothiazide,Solco Healthcar, , , , , , , , , , , , , , , , ,"$1,202.81","19,113",456,254,$0.06,$2.64,$4.74,0,"$20,103.31","$240,901.00","5,539","2,947",$0.08,$3.63,$6.82,0,"$230,748.19","6,100,956","93,198","63,333",$0.04,$2.48,$3.64,0,-54.23%,-22.11%
Hydrochlorothiazide,Hydrochlorothiazide,Sun Pharmaceuti,"$8,116.70","90,817","1,941","1,077",$0.09,$4.18,$7.54,0,"$17,981.97","215,713","5,067","1,826",$0.08,$3.55,$9.85,0,"$2,174.24","27,668",600,238,$0.08,$3.62,$9.14,0,$733.03,"$9,634.00",211,77,$0.08,$3.47,$9.52,0,$646.93,"8,679",190,76,$0.07,$3.40,$8.51,0,-2.03%,-4.44%
Hydrochlorothiazide,Hydrochlorothiazide,Teva USA,"$8,407,294.32","125,240,472","2,305,029","636,905",$0.07,$3.65,$13.20,0,"$7,299,591.45","120,389,194","2,106,754","604,143",$0.06,$3.46,$12.08,0,"$5,676,650.28","92,431,967","1,525,508","507,855",$0.06,$3.72,$11.18,0,"$2,285,306.08","$34,105,705.16","564,876","273,944",$0.07,$4.05,$8.34,0,"$1,786,703.08","39,879,292","621,181","286,340",$0.04,$2.88,$6.24,0,-32.75%,-9.52%
Hydrochlorothiazide,Hydrochlorothiazide,Unichem Pharmac,"$22,029,382.95","218,216,966","3,470,144","960,566",$0.10,$6.35,$22.93,0,"$23,163,577.56","235,737,471","3,648,670","983,542",$0.10,$6.35,$23.55,0,"$18,365,990.71","214,110,992","3,326,999","1,103,868",$0.09,$5.52,$16.64,0,"$16,102,046.05","$209,663,713.60","3,155,152","1,082,157",$0.08,$5.10,$14.88,0,"$22,601,210.26","301,554,326","4,255,890","1,570,360",$0.08,$5.31,$14.39,0,-3.80%,-7.20%
Hydrochlorothiazide,Hydrochlorothiazide,West-Ward/Hikma,"$41,375.87","482,048","13,098","3,992",$0.09,$3.16,$10.36,0,"$5,766.98","63,720","1,673",523,$0.09,$3.45,$11.03,0,"$2,838.48","24,613",625,231,$0.12,$4.54,$12.29,0,"$1,192.10","$11,263.00",287,92,$0.11,$4.15,$12.96,0,$774.02,"8,415",172,74,$0.09,$4.50,$10.46,0,-18.19%,1.47%
Hydrochlorothiazide,Hydrochlorothiazide,Westminster Pha, , , , , , , , ,$552.80,"11,823",230,194,$0.05,$2.40,$2.85,0,"$49,780.80","866,725","14,866","11,688",$0.06,$3.35,$4.26,0,"$19,644.40","$317,752.00","5,684","3,843",$0.06,$3.46,$5.11,0,"$10,478.05","110,205","2,013","1,231",$0.09,$5.21,$8.51,0,47.79%,24.80%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,AHP,"$46,373.96","112,571","3,691","1,811",$0.41,$12.56,$25.61,0,"$36,337.93","81,209","2,879","1,225",$0.45,$12.62,$29.66,0,"$21,313.81","47,296","2,350","1,044",$0.45,$9.07,$20.42,0,"$12,443.51","$20,372.00","1,394",701,$0.74,$8.93,$17.75,0,"$10,965.85","16,595","1,160",677,$0.69,$9.45,$16.20,0,-6.32%,13.73%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Actavis/Teva,"$122,155,266.18","418,410,817","4,455,416","1,120,422",$0.29,$27.42,$109.03,0,"$147,322,605.95","458,814,212","5,321,295","1,498,492",$0.32,$27.69,$98.31,0,"$112,700,603.41","487,252,328","6,136,610","1,810,378",$0.23,$18.37,$62.25,0,"$74,442,734.52","$259,702,183.50","3,360,310","1,237,862",$0.29,$22.15,$60.14,0,"$834,997.50","2,606,619","38,470","26,083",$0.35,$21.71,$32.01,0,20.58%,4.39%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Amneal Pharmace,"$59,415,510.46","202,638,109","3,006,543","1,234,921",$0.29,$19.76,$48.11,0,"$52,319,101.90","177,230,270","2,724,181","1,071,221",$0.29,$19.21,$48.84,0,"$40,104,418.75","171,727,155","2,659,965","1,102,643",$0.23,$15.08,$36.37,0,"$46,145,551.98","$164,621,563.33","2,604,666","1,087,684",$0.28,$17.72,$42.43,0,"$38,751,423.74","141,834,095","2,309,388","864,950",$0.27,$16.78,$44.80,0,-2.02%,-1.28%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Aurobindo Pharm,"$9,863,781.06","33,808,192","407,641","180,990",$0.29,$24.20,$54.50,0,"$14,143,779.80","44,694,421","554,330","218,925",$0.32,$25.52,$64.61,0,"$16,558,303.97","68,435,086","857,083","317,186",$0.24,$19.32,$52.20,0,"$23,034,841.17","$79,062,302.00","1,068,935","388,189",$0.29,$21.55,$59.34,0,"$26,380,835.84","94,033,187","1,198,489","363,443",$0.28,$22.01,$72.59,0,-4.17%,-0.58%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Avkare, , , , , , , , , , , , , , , , ,"$26,156.27","116,104","1,531","1,145",$0.23,$17.08,$22.84,0,"$130,121.55","$522,324.00","6,596","4,367",$0.25,$19.73,$29.80,0,"$6,665.91","28,223",463,310,$0.23,$14.40,$21.50,0,-7.42%,1.25%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Avpak,"$3,393.75","8,065",248,113,$0.42,$13.68,$30.03,0,"$1,468.09","2,333",71,36,$0.63,$20.68,$40.78,0,$376.29,717,39,32,$0.54,$9.65,$11.76,0,$586.01,"$1,625.00",42,35,$0.47,$13.95,$16.74,1,"$3,587.02","6,013",199,140,$0.63,$18.03,$25.62,0,34.83%,10.63%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Boca Pharmacal/,"$3,569,327.01","19,014,116","33,375","17,415",$0.19,$106.95,$204.96,0,"$3,703,082.44","24,171,054","42,721","24,501",$0.15,$86.68,$151.14,0,"$2,535,868.85","21,555,701","35,915","20,064",$0.12,$70.61,$126.39,0,"$600,951.32","$4,622,704.70","8,534","6,010",$0.13,$70.42,$99.99,0,"$43,020.68","324,842",723,551,$0.13,$59.50,$78.08,0,1.87%,-8.35%
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Camber Pharmace, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$4,496,063.45","16,859,435","222,415","104,540",$0.27,$20.21,$43.01,0, , 
