"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Kuvan,Sapropterin Dihydrochloride,1,"$18,487,423.86","519,785","1,309",142,$42.81,"$14,123.32","$130,193.13",0,"$22,322,835.92","419,130","1,746",152,$84.44,"$12,785.13","$146,860.76",0,"$27,479,152.25","415,994","2,184",181,$99.20,"$12,582.03","$151,818.52",0,"$28,307,279.37","378,513","2,266",207,$109.30,"$12,492.18","$136,750.14",0,"$29,684,297.95","377,433","2,249",184,$117.01,"$13,198.89","$161,327.71",0,7.06%,28.58%
Kyleena,Levonorgestrel,1, , , , , , , , , , , , , , , , ,"$19,896.61",23,23,23,$865.07,$865.07,$865.07,1,"$36,794.63",40,40,40,$919.87,$919.87,$919.87,0,"$46,103.20",47,47,47,$980.92,$980.92,$980.92,0,6.64%,6.49%
Kyprolis,Carfilzomib,1, , , , , , , , , , , , , , , , ,"$4,177,734.33","4,611",342,87,$909.30,"$12,215.60","$48,019.93",1,"$5,819,243.49","3,517",435,92,"$1,655.90","$13,377.57","$63,252.65",1,"$6,777,450.35","4,475",565,112,"$1,913.20","$11,995.49","$60,512.95",0,15.54%,45.05%
Labetalol HCl*,Labetalol HCl,17,"$60,310,459.92","143,694,960","1,314,536","243,040",$0.42,$45.88,$248.15,0,"$52,778,386.45","147,842,187","1,322,055","247,945",$0.36,$39.92,$212.86,0,"$61,538,613.73","148,780,941","1,285,589","250,073",$0.41,$47.87,$246.08,0,"$62,082,844.75","152,005,032","1,257,528","253,714",$0.40,$49.37,$244.70,0,"$63,618,150.75","153,370,525","1,199,968","255,041",$0.41,$53.02,$249.44,0,1.63%,-0.36%
Lac-Hydrin,Ammonium Lactate,1,"$7,205.91","56,990",197,140,$0.13,$36.58,$51.47,0,"$2,916.09","25,306",90,76,$0.12,$32.40,$38.37,0,"$1,845.09","14,292",49,41,$0.13,$37.65,$45.00,1,$764.89,"7,940",29,29,$0.10,$26.38,$26.38,1,$956.75,"7,567",29,24,$0.13,$32.99,$39.86,1,29.30%,-0.19%
Lacrisert,Hydroxypropyl Cellulose,1, , , ,"1,710", , , , ,"$2,138,123.20","326,134","3,514","1,362",$6.56,$608.46,"$1,569.84",0,"$2,990,870.91","419,167","4,305","1,162",$7.14,$694.74,"$2,573.90",0,"$3,158,196.35","400,320","4,188","1,148",$7.89,$754.11,"$2,751.04",0,"$2,929,217.98","351,720","3,686","1,022",$8.33,$794.69,"$2,866.16",0,5.57%,8.30%
Lactated Ringers*,"Ringer'S Solution,Lactated",3,"$144,625.01","30,864,356","4,933","1,540",$0.00,$29.32,$93.91,0,"$174,427.82","36,670,695","5,873","1,689",$0.01,$29.70,$103.27,0,"$186,978.67","43,791,753","7,000","1,801",$0.00,$26.71,$103.82,0,"$234,665.04","55,652,550","8,828","2,103",$0.00,$26.58,$111.59,0,"$299,389.16","70,583,100","10,396","2,182",$0.00,$28.80,$137.21,0,0.09%,-1.78%
Lactulose,Lactulose,10,"$28,129,731.84","1,431,654,104","1,590,196","449,900",$0.02,$17.69,$62.52,0,"$27,567,620.77","1,419,955,135","1,580,318","449,471",$0.02,$17.44,$61.33,0,"$29,631,064.35","1,459,584,377","1,596,158","456,634",$0.02,$18.56,$64.89,0,"$30,219,770.26","1,466,692,877","1,550,682","448,829",$0.02,$19.49,$67.33,0,"$37,841,319.65","1,598,715,267","1,616,718","475,254",$0.04,$23.41,$79.62,0,99.44%,22.09%
Lamictal,Lamotrigine,1,"$85,130,932.93","7,838,073","79,594","8,888",$11.02,"$1,069.56","$9,578.19",0,"$94,563,076.58","7,389,723","73,941","8,332",$12.98,"$1,278.90","$11,349.39",0,"$96,445,544.45","6,972,559","68,199","7,632",$14.02,"$1,414.18","$12,636.99",0,"$102,092,148.36","6,701,373","64,653","7,371",$15.45,"$1,579.08","$13,850.52",0,"$101,696,067.87","6,474,315","60,050","7,008",$15.94,"$1,693.52","$14,511.43",0,3.20%,9.68%
Lamictal (Orange),Lamotrigine,1,"$307,232.18","33,393",686,665,$9.20,$447.86,$462.00,0,"$231,486.53","21,447",443,427,$10.79,$522.54,$542.12,0,"$133,898.03","11,579",237,232,$11.56,$564.97,$577.15,0,"$56,082.28","4,606",94,93,$12.18,$596.62,$603.04,0,"$39,444.67","3,087",63,62,$12.78,$626.11,$636.20,0,4.94%,8.56%
Lamictal ODT,Lamotrigine,1,"$6,418,488.54","633,692","9,370","1,860",$10.26,$685.00,"$3,450.80",0,"$4,035,479.78","376,898","4,703",673,$10.93,$858.07,"$5,996.26",0,"$3,222,979.05","287,204","3,312",444,$11.44,$973.12,"$7,258.96",0,"$3,444,870.92","280,916","2,850",360,$12.52,"$1,208.73","$9,569.09",0,"$3,445,162.07","270,836","2,786",338,$13.03,"$1,236.60","$10,192.79",0,4.02%,6.15%
Lamictal ODT (Orange),Lamotrigine,1,"$53,913.42","4,376",126,120,$12.32,$427.88,$449.28,0,"$11,474.46",910,26,25,$12.61,$441.33,$458.98,1, , , , , , , , ,"$8,976.51",595,17,16,$15.09,$528.03,$561.03,1,"$8,046.92",525,15,15,$15.33,$536.46,$536.46,1,1.60%,5.61%
Lamictal XR,Lamotrigine,1,"$32,982,964.80","1,795,771","23,700","2,727",$18.91,"$1,391.69","$12,094.96",0,"$39,202,102.12","1,757,175","22,662","2,583",$22.94,"$1,729.86","$15,176.97",0,"$40,285,435.02","1,707,284","21,196","2,407",$24.21,"$1,900.61","$16,736.78",0,"$44,150,483.43","1,696,146","20,980","2,289",$26.85,"$2,104.41","$19,288.11",0,"$45,619,593.99","1,687,512","20,091","2,245",$27.90,"$2,270.65","$20,320.53",0,3.91%,10.20%
Lamictal XR (Orange),Lamotrigine,1,"$17,999.65","1,590",46,42,$11.32,$391.30,$428.56,0,"$20,679.99","1,506",44,43,$13.73,$470.00,$480.93,0,"$18,151.39","1,260",36,36,$14.41,$504.21,$504.21,0,"$19,864.67","1,260",36,36,$15.77,$551.80,$551.80,0,"$16,499.87","1,015",29,28,$16.26,$568.96,$589.28,1,3.11%,9.47%
Lamivudine,Lamivudine,13,"$17,561,271.65","3,487,930","76,204","10,753",$6.01,$230.45,"$1,633.15",0,"$14,655,918.21","4,214,376","77,093","10,847",$4.90,$190.11,"$1,351.15",0,"$12,258,169.85","4,225,693","70,211","9,877",$4.45,$174.59,"$1,241.08",0,"$9,271,777.85","3,857,923","60,591","8,717",$3.80,$153.02,"$1,063.64",0,"$6,721,434.42","3,340,582","49,263","7,202",$3.16,$136.44,$933.27,0,-16.77%,-14.82%
Lamivudine Hbv,Lamivudine,3,"$6,983,651.08","637,832","18,539","3,163",$11.04,$376.70,"$2,207.92",0,"$6,163,924.38","652,831","18,424","3,276",$9.53,$334.56,"$1,881.54",0,"$5,579,096.29","689,224","19,313","3,402",$8.13,$288.88,"$1,639.95",0,"$5,644,032.70","743,849","21,213","3,560",$7.59,$266.06,"$1,585.40",0,"$5,224,385.01","764,751","21,103","3,490",$6.84,$247.57,"$1,496.96",0,-9.95%,-11.29%
Lamivudine-Zidovudine,Lamivudine/Zidovudine,6,"$24,042,669.56","2,910,268","45,503","6,433",$8.26,$528.38,"$3,737.40",0,"$10,657,002.89","1,955,538","30,494","5,309",$5.45,$349.48,"$2,007.35",0,"$7,585,190.93","1,755,267","26,348","4,035",$4.32,$287.88,"$1,879.85",0,"$6,257,061.50","1,586,701","22,682","3,147",$3.95,$275.86,"$1,988.26",0,"$5,038,468.45","1,208,740","16,274","2,356",$4.18,$309.60,"$2,138.57",0,5.82%,-15.68%
Lamotrigine,Lamotrigine,17,"$43,123,825.82","238,537,449","3,357,640","450,579",$0.18,$12.84,$95.71,0,"$43,411,425.73","257,102,607","3,547,450","477,959",$0.17,$12.24,$90.83,0,"$44,628,338.28","273,548,990","3,667,721","503,387",$0.17,$12.17,$88.66,0,"$48,144,772.54","290,623,019","3,743,827","526,616",$0.17,$12.86,$91.42,0,"$53,833,764.26","306,066,128","3,739,307","549,793",$0.18,$14.40,$97.92,0,6.52%,-0.48%
Lamotrigine (Blue),Lamotrigine,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$35,907.94","2,900",78,73,$12.38,$460.36,$491.89,0,"$20,477.42","1,607",44,41,$12.74,$465.40,$499.45,0,2.91%,2.91%
Lamotrigine (Green),Lamotrigine,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$79,641.90","6,862",72,67,$11.61,"$1,106.14","$1,188.69",0,"$55,781.57","4,998",51,47,$11.16,"$1,093.76","$1,186.84",0,-3.84%,-3.84%
Lamotrigine (Orange),Lamotrigine,1, , , , , , , , , , , , , , , , ,"$11,174.54","1,029",21,21,$10.86,$532.12,$532.12,1,"$214,674.46","19,481",398,387,$11.02,$539.38,$554.71,0,"$156,860.47","14,446",294,291,$10.86,$533.54,$539.04,0,-1.46%,-0.01%
Lamotrigine ER,Lamotrigine,7,"$39,231,424.59","4,314,639","71,603","12,244",$9.33,$547.90,"$3,204.13",0,"$40,332,905.81","5,141,212","77,761","14,090",$8.00,$518.68,"$2,862.52",0,"$48,070,015.84","5,957,272","90,613","15,216",$8.27,$530.50,"$3,159.18",0,"$47,977,685.26","6,306,065","96,658","15,381",$7.85,$496.37,"$3,119.28",0,"$50,602,384.57","7,051,284","101,914","16,527",$7.42,$496.52,"$3,061.80",0,-5.42%,-5.56%
Lamotrigine ODT,Lamotrigine,4,"$3,209,192.70","411,133","6,281","2,013",$7.85,$510.94,"$1,594.23",0,"$5,496,645.56","756,234","11,193","2,829",$7.34,$491.08,"$1,942.96",0,"$5,959,897.70","869,084","12,538","2,807",$6.92,$475.35,"$2,123.23",0,"$6,709,945.46","1,021,554","13,475","2,953",$6.66,$497.96,"$2,272.25",0,"$7,452,029.31","1,128,690","14,229","3,106",$6.68,$523.72,"$2,399.24",0,0.40%,-3.95%
Lanoxin*,Digoxin,1,"$9,552.28","2,718",58,"9,445",$3.51,$164.69,$1.01,0,"$2,440,239.58","315,385","6,458","5,203",$7.72,$377.86,$469.01,0,"$5,621,920.52","513,720","10,485","2,891",$10.95,$536.19,"$1,944.63",0,"$5,038,565.58","416,914","8,583","1,984",$12.09,$587.04,"$2,539.60",0,"$3,841,800.31","313,783","6,394","1,517",$12.25,$600.84,"$2,532.50",0,1.31%,36.63%
Lansoprazol-Amoxicil-Clarithro,Lansoprazole/Amoxiciln/Clarith,3,"$5,171,086.42","1,106,949","9,915","9,912",$4.67,$521.54,$521.70,0,"$3,955,044.08","895,609","8,017","7,869",$4.42,$493.33,$502.61,0,"$2,589,975.85","587,869","5,261","5,155",$4.41,$492.30,$502.42,0,"$1,696,450.09","477,927","4,276","4,186",$3.55,$396.74,$405.27,0,"$1,310,551.93","371,771","3,331","3,256",$3.52,$393.44,$402.50,0,-0.69%,-6.80%
Lansoprazole,Lansoprazole,18,"$102,079,450.26","98,752,565","1,793,322","414,882",$1.03,$56.92,$246.04,0,"$61,308,976.30","79,855,111","1,384,414","337,724",$0.77,$44.29,$181.54,0,"$45,350,927.28","69,025,944","1,136,784","271,192",$0.66,$39.89,$167.23,0,"$54,679,216.52","64,526,944","1,016,021","252,016",$0.91,$53.82,$216.97,0,"$59,540,871.82","67,262,150","1,028,055","263,487",$1.02,$57.92,$225.97,0,11.12%,-0.43%
Lanthanum Carbonate,Lanthanum Carbonate,2, , , , , , , , , , , , , , , , ,"$12,123,631.62","1,290,850","7,628","4,160",$9.39,"$1,589.36","$2,914.33",0,"$41,727,832.92","4,813,556","29,219","8,668",$8.65,"$1,428.11","$4,814.01",0,"$46,257,543.36","5,271,510","33,009","9,579",$8.78,"$1,401.36","$4,829.06",0,1.51%,-3.30%
Lantus,"Insulin Glargine,Hum.Rec.Anlog",1,"$1,876,168,995.10","75,067,073","3,991,268","733,920",$24.99,$470.07,"$2,556.37",0,"$1,687,996,835.70","67,839,978","3,595,217","671,493",$24.88,$469.51,"$2,513.80",0,"$1,554,220,867.70","62,296,158","3,257,927","614,809",$24.95,$477.06,"$2,527.97",0,"$1,253,375,347.20","47,189,702","2,444,702","524,078",$26.56,$512.69,"$2,391.58",0,"$1,158,911,973.10","40,995,534","2,050,225","422,031",$28.27,$565.26,"$2,746.04",0,6.43%,3.13%
Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",1,"$2,483,335,171.90","100,568,924","4,859,914","1,041,388",$24.69,$510.98,"$2,384.64",0,"$2,526,426,477.80","102,691,210","5,027,175","1,075,462",$24.60,$502.55,"$2,349.15",0,"$2,632,361,498.00","106,072,570","5,234,110","1,112,448",$24.82,$502.92,"$2,366.28",0,"$2,370,490,821.50","89,307,638","4,473,746","1,050,706",$26.54,$529.87,"$2,256.09",0,"$2,495,768,701.50","88,122,248","4,419,719","965,522",$28.32,$564.69,"$2,584.89",0,6.70%,3.49%
Larin,Norethindrone Ac-Eth Estradiol,1,"$14,215.34","16,926",592,141,$0.84,$24.01,$100.82,0,"$24,287.22","31,752","1,030",364,$0.77,$23.58,$66.72,0,"$32,297.02","47,663","1,459",337,$0.68,$22.14,$95.84,0,"$61,316.84","80,242","2,276",593,$0.76,$26.94,$103.40,0,"$92,848.02","120,981","3,421",759,$0.76,$27.14,$122.33,0,0.34%,-2.32%
Larin 24 Fe,Norethindrone-E.Estradiol-Iron,1, , , , , , , , ,"$15,349.91","9,352",219,63,$1.64,$70.09,$243.65,0,"$26,185.96","16,100",384,109,$1.63,$68.19,$240.24,0,"$27,706.62","17,920",431,103,$1.55,$64.28,$269.00,0,"$33,198.91","22,736",558,149,$1.46,$59.50,$222.81,0,-5.56%,-3.82%
Larin Fe,Norethindrone-E.Estradiol-Iron,1,"$88,467.68","145,290","4,112",932,$0.61,$21.51,$94.92,0,"$131,816.13","233,503","6,279","1,604",$0.56,$20.99,$82.18,0,"$145,614.44","276,268","7,034","1,398",$0.53,$20.70,$104.16,0,"$162,135.32","284,565","7,055","1,524",$0.57,$22.98,$106.39,0,"$172,936.74","298,170","7,132","1,590",$0.58,$24.25,$108.77,0,1.82%,-1.21%
Larissia,Levonorgestrel/Ethin.Estradiol,1, , , , , , , , , , , , , , , , ,"$6,508.81","15,484",365,202,$0.42,$17.83,$32.22,0,"$80,165.35","161,114","3,437","1,017",$0.50,$23.32,$78.83,0,"$96,085.21","173,688","3,410",956,$0.55,$28.18,$100.51,0,11.18%,14.72%
Lartruvo,Olaratumab,1, , , , , , , , , , , , , , , , ,"$907,506.19","18,470",74,14,$49.19,"$12,263.60","$64,821.87",0,"$1,072,688.35","21,631",106,18,$49.51,"$10,119.70","$59,593.80",0,"$252,694.96","5,014",23, ,$50.41,"$10,986.74", ,1,1.83%,1.24%
Lasix,Furosemide,1, , , ,"7,189", , , , ,"$310,241.11","403,922","5,052","6,039",$0.77,$61.41,$51.37,0,"$967,772.94","1,157,840","15,949","5,234",$0.84,$60.68,$184.90,0,"$1,053,101.05","1,178,273","15,886","4,581",$0.89,$66.29,$229.88,0,"$1,092,102.37","1,092,206","14,209","3,989",$1.00,$76.86,$273.78,0,11.26%,8.97%
Lastacaft,Alcaftadine,1,"$6,882,899.67","130,956","39,440","18,313",$52.56,$174.52,$375.85,0,"$4,807,782.21","80,164","23,814","10,002",$59.97,$201.89,$480.68,0,"$3,475,742.56","53,052","15,480","6,145",$65.52,$224.53,$565.62,0,"$3,507,979.86","47,493","13,709","5,046",$73.86,$255.89,$695.20,0,"$3,167,331.80","40,940","11,664","4,198",$77.37,$271.55,$754.49,0,4.74%,10.15%
Latanoprost,Latanoprost,7,"$110,669,138.88","26,623,774","7,446,563","1,407,173",$4.16,$14.86,$78.65,0,"$120,193,617.94","29,839,659","8,147,066","1,562,154",$4.03,$14.75,$76.94,0,"$144,699,606.58","33,025,695","8,712,068","1,708,169",$4.37,$16.61,$84.71,0,"$160,307,425.51","36,607,737","9,203,090","1,853,461",$4.40,$17.42,$86.49,0,"$175,843,869.23","39,878,892","9,370,287","1,970,625",$4.43,$18.77,$89.23,0,0.71%,1.56%
Latuda,Lurasidone HCl,1,"$586,132,462.41","20,305,404","649,561","101,343",$28.97,$902.35,"$5,783.65",0,"$783,518,176.08","23,145,630","739,157","108,612",$33.96,"$1,060.02","$7,213.92",0,"$991,725,695.17","25,076,160","798,344","111,857",$39.69,"$1,242.23","$8,866.01",0,"$1,172,672,481.00","26,445,803","831,914","113,411",$44.50,"$1,409.61","$10,340.02",0,"$1,207,659,482.00","27,121,620","856,137","114,433",$44.66,"$1,410.59","$10,553.42",0,0.37%,11.43%
Layolis Fe,Noreth-Ethinyl Estradiol/Iron,1,"$9,859.28","3,164",83,30,$3.12,$118.79,$328.64,0,"$30,612.15","11,032",288,53,$2.77,$106.29,$577.59,0,"$27,558.12","11,704",241,51,$2.35,$114.35,$540.36,0,"$26,530.90","10,780",230,49,$2.46,$115.35,$541.45,0,"$34,455.95","12,516",248,57,$2.75,$138.94,$604.49,0,11.86%,-3.05%
Lazanda,Fentanyl Citrate,1,"$6,019,250.72","12,422",506,157,$466.74,"$11,895.75","$38,339.18",0,"$9,687,921.69","16,338",646,183,$576.35,"$14,996.78","$52,939.46",0,"$7,550,348.03","10,005",391,79,$717.00,"$19,310.35","$95,574.03",0,"$6,440,969.43","6,071",220,49,"$1,036.57","$29,277.13","$131,448.36",0,"$3,866,367.11","3,377",163,34,"$1,184.20","$23,720.04","$113,716.68",0,14.24%,26.21%
Ledipasvir-Sofosbuvir,Ledipasvir/Sofosbuvir,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$25,843,413.87","59,936","2,086",959,$431.18,"$12,388.98","$26,948.29",0, , 
Leena,Norethindrone-Ethin. Estradiol,1, , , ,74, , , , ,$583.25,644,12,65,$0.91,$48.60,$8.97,0,"$8,009.48","9,324",230,48,$0.86,$34.82,$166.86,0,"$10,167.51","10,750",280,45,$0.95,$36.31,$225.94,0,"$8,407.30","5,852",129,26,$1.44,$65.17,$323.36,0,51.90%,16.63%
Leflunomide,Leflunomide,7,"$34,972,762.30","14,364,230","318,644","83,946",$2.43,$109.75,$416.61,0,"$78,183,813.06","19,328,662","422,063","91,518",$4.04,$185.24,$854.30,0,"$94,765,980.51","21,741,429","467,358","97,430",$4.34,$202.77,$972.66,0,"$96,655,694.12","23,366,922","481,175","103,490",$4.13,$200.87,$933.96,0,"$85,720,084.74","25,447,984","492,986","110,013",$3.37,$173.88,$779.18,0,-18.37%,8.58%
Lemtrada,Alemtuzumab,1,"$4,349,084.04",258,45,41,"$16,856.91","$96,646.31","$106,075.22",0,"$7,099,197.58",414,86,81,"$17,147.82","$82,548.81","$87,644.41",0,"$7,975,970.38",442,101,88,"$18,061.53","$78,970.00","$90,636.03",0,"$4,808,825.62",257,66,61,"$18,725.96","$72,860.99","$78,833.21",0,"$3,502,454.05",178,45,41,"$19,721.03","$77,832.31","$85,425.71",0,5.31%,4.00%
Lenvima,Lenvatinib Mesylate,1,"$25,618,405.67","130,665","1,876",512,$219.90,"$13,655.87","$50,035.95",0,"$54,339,754.10","248,510","3,962",803,$249.28,"$13,715.23","$67,670.93",0,"$79,194,379.68","327,531","5,352","1,102",$281.96,"$14,797.16","$71,864.23",0,"$138,354,128.79","507,703","8,236","1,921",$317.59,"$16,798.70","$72,021.93",0,"$272,480,628.35","936,705","14,751","3,974",$341.33,"$18,472.01","$68,565.84",0,7.47%,11.62%
Lescol XL,Fluvastatin Sodium,1,"$11,995,437.15","1,637,055","31,425","7,705",$7.33,$381.72,"$1,556.84",0,"$4,038,475.25","470,432","9,548","2,121",$8.58,$422.97,"$1,904.04",0,"$2,667,807.58","275,122","5,077","1,144",$9.70,$525.47,"$2,332.00",0,"$2,074,704.15","198,024","3,505",766,$10.48,$591.93,"$2,708.49",0,"$1,574,146.50","149,884","2,570",545,$10.50,$612.51,"$2,888.34",0,0.24%,9.42%
Lessina,Levonorgestrel/Ethin.Estradiol,1,"$33,781.47","60,823","1,609",356,$0.56,$21.00,$94.89,0,"$24,184.41","45,502","1,227",286,$0.53,$19.71,$84.56,0,"$32,514.29","67,305","1,675",465,$0.48,$19.41,$69.92,0,"$104,047.61","184,020","3,892","1,101",$0.57,$26.73,$94.50,0,"$129,787.03","212,039","4,152","1,158",$0.61,$31.26,$112.08,0,8.26%,2.46%
Letairis,Ambrisentan,1,"$463,087,773.22","1,832,855","60,470","7,146",$252.66,"$7,658.14","$64,803.77",0,"$574,433,058.58","2,008,979","66,106","7,736",$285.93,"$8,689.58","$74,254.53",0,"$627,590,245.83","2,039,451","66,686","7,741",$307.73,"$9,411.12","$81,073.54",0,"$608,195,650.13","1,906,592","61,849","7,081",$319.00,"$9,833.56","$85,891.21",0,"$417,394,654.52","1,271,708","41,135","6,734",$328.22,"$10,146.95","$61,983.17",0,2.89%,6.76%
Letrozole,Letrozole,8,"$12,366,079.88","26,625,210","535,683","107,124",$0.46,$23.08,$115.44,0,"$14,921,984.94","30,600,535","602,227","120,607",$0.49,$24.78,$123.72,0,"$12,800,801.96","34,608,746","652,377","134,492",$0.37,$19.62,$95.18,0,"$14,237,951.57","38,479,666","694,458","147,498",$0.37,$20.50,$96.53,0,"$17,884,801.59","42,284,175","719,744","160,669",$0.42,$24.85,$111.31,0,14.14%,-2.28%
Leucovorin Calcium*,Leucovorin Calcium,10,"$3,522,394.90","1,622,442","87,527","19,117",$2.50,$40.24,$184.25,0,"$3,870,826.50","1,738,148","91,882","20,401",$2.61,$42.13,$189.74,0,"$4,137,554.89","1,803,643","93,622","21,377",$2.58,$44.19,$193.55,0,"$4,463,390.10","1,849,860","93,854","21,953",$2.62,$47.56,$203.32,0,"$4,754,951.90","1,927,043","94,326","22,989",$2.73,$50.41,$206.84,0,4.46%,2.28%
Leukeran,Chlorambucil,1,"$6,914,183.33","594,246","14,412","4,022",$11.64,$479.75,"$1,719.09",0,"$10,356,194.06","494,926","12,652","3,470",$20.92,$818.54,"$2,984.49",0,"$9,260,714.84","387,162","10,430","2,760",$23.92,$887.89,"$3,355.33",0,"$8,073,586.01","325,354","9,089","2,348",$24.81,$888.28,"$3,438.49",0,"$5,529,895.01","222,290","6,253","1,529",$24.88,$884.36,"$3,616.67",0,0.25%,20.92%
Leukine,Sargramostim,1,"$8,787,905.51","36,712","1,585",336,$239.37,"$5,544.42","$26,154.48",0,"$8,135,999.73","32,566","1,462",281,$249.83,"$5,564.98","$28,953.74",0,"$7,075,948.75","28,020","1,332",296,$252.53,"$5,312.27","$23,905.23",0,"$3,978,887.90","15,667",824,194,$253.97,"$4,828.75","$20,509.73",0,"$4,485,306.86","16,401",912,183,$273.48,"$4,918.10","$24,509.87",0,7.68%,3.39%
Leuprolide Acetate,Leuprolide Acetate,2,"$44,744.32",239,103,33,$186.57,$434.41,"$1,355.89",0,"$112,621.88",286,119,43,$393.69,$946.40,"$2,619.11",0,"$155,000.36",310,142,38,$500.18,"$1,091.55","$4,078.96",1,"$125,312.55",226,108,39,$555.51,"$1,160.30","$3,213.14",1,"$107,652.03",217,103,38,$496.94,"$1,045.17","$2,832.95",1,-10.54%,27.75%
Levalbuterol Concentrate,Levalbuterol HCl,2,"$126,346.57","23,485",587,233,$5.38,$215.24,$542.26,0,"$137,079.12","25,253",635,256,$5.43,$215.87,$535.47,0,"$125,398.32","24,633",564,267,$5.09,$222.34,$469.66,0,"$100,701.68","21,974",566,269,$4.58,$177.92,$374.36,0,"$98,000.53","21,337",602,248,$4.59,$162.79,$395.16,0,0.27%,-3.91%
Levalbuterol HCl,Levalbuterol HCl,7,"$4,853,254.72","4,257,339","37,387","11,582",$1.14,$129.81,$419.03,0,"$5,095,532.35","4,798,982","40,366","10,347",$1.06,$126.23,$492.46,0,"$4,259,919.46","4,321,069","36,162","10,309",$0.97,$117.80,$413.22,0,"$3,136,372.73","3,756,622","34,069","9,242",$0.83,$92.06,$339.36,0,"$2,571,694.30","3,435,979","32,733","8,071",$0.75,$78.57,$318.63,0,-10.10%,-9.93%
Levalbuterol Tartrate HFA,Levalbuterol Tartrate,1, , , , , , , , ,"$1,101,248.35","281,415","13,994","10,687",$3.91,$78.69,$103.05,0,"$7,441,440.89","1,897,928","95,197","40,195",$3.92,$78.17,$185.13,0,"$9,672,932.04","2,512,202","124,211","50,439",$3.85,$77.88,$191.77,0,"$10,096,489.05","2,658,901","130,818","53,430",$3.80,$77.18,$188.97,0,-1.38%,-1.00%
Levaquin,Levofloxacin,1,"$768,108.85","31,305","2,576","1,628",$27.06,$298.18,$471.81,0,"$655,407.63","21,708","1,841","1,124",$31.09,$356.01,$583.10,0,"$530,067.08","17,897","1,551",912,$30.85,$341.76,$581.21,0,"$222,551.54","7,293",753,511,$30.90,$295.55,$435.52,0,"$44,475.83","1,552",172,147,$28.90,$258.58,$302.56,0,-6.47%,1.66%
Levemir,Insulin Detemir,1,"$536,800,452.65","20,604,517","1,141,922","221,846",$26.05,$470.09,"$2,419.70",0,"$530,894,562.90","19,498,765","1,079,132","209,170",$27.23,$491.96,"$2,538.10",0,"$475,007,885.93","17,404,962","951,712","188,078",$27.29,$499.11,"$2,525.59",0,"$538,215,607.69","18,418,092","1,001,728","195,578",$29.22,$537.29,"$2,751.92",0,"$518,787,988.16","16,479,272","879,148","165,999",$31.48,$590.10,"$3,125.25",0,7.73%,4.85%
Levemir Flextouch,Insulin Detemir,1,"$1,257,110,121.80","49,199,725","2,327,278","497,450",$25.55,$540.16,"$2,527.11",0,"$1,419,146,165.00","52,971,096","2,544,038","525,487",$26.79,$557.83,"$2,700.63",0,"$1,404,127,510.20","52,297,048","2,490,468","509,282",$26.85,$563.80,"$2,757.07",0,"$1,584,105,949.80","54,941,914","2,644,059","535,568",$28.83,$599.12,"$2,957.81",0,"$1,622,206,516.90","52,125,391","2,515,469","496,640",$31.12,$644.89,"$3,266.36",0,7.94%,5.05%
Levetiracetam ER,Levetiracetam,9,"$8,212,770.77","10,464,178","100,314","19,474",$0.79,$81.87,$421.73,0,"$7,744,319.40","12,995,367","120,245","22,130",$0.60,$64.40,$349.95,0,"$9,026,360.56","14,739,639","132,232","24,091",$0.62,$68.26,$374.68,0,"$11,500,462.81","16,594,067","142,493","26,488",$0.70,$80.71,$434.18,0,"$14,390,516.54","16,480,578","137,557","27,771",$0.88,$104.61,$518.19,0,26.41%,2.79%
Levetiracetam*,Levetiracetam,37,"$101,103,249.00","414,817,101","3,582,894","538,744",$0.29,$28.22,$187.66,0,"$103,510,754.55","465,512,804","3,903,633","578,337",$0.27,$26.52,$178.98,0,"$110,454,859.00","503,909,884","4,112,478","614,921",$0.27,$26.86,$179.62,0,"$119,351,785.95","538,195,140","4,248,021","648,748",$0.27,$28.10,$183.97,0,"$136,266,573.01","575,913,809","4,338,794","682,250",$0.29,$31.41,$199.73,0,6.63%,-0.37%
Levetiracetam-NaCl,Levetiracetam In NaCl (Iso-Os),3,"$24,916.83","68,600",79,21,$0.37,$315.40,"$1,186.52",0,"$22,733.68","49,400",84,21,$0.43,$270.64,"$1,082.56",0,"$23,755.41","63,000",109,34,$0.38,$217.94,$698.69,0,"$61,183.13","150,250",134,32,$0.44,$456.59,"$1,911.97",0,"$110,486.88","275,100",221,36,$0.40,$499.94,"$3,069.08",0,-9.07%,1.72%
